code,value_cm
M01_chest,96.0
M02_under_bust,85.0
M03_waist,80.0
M04_abdomen,86.0
M05_hips,100.0
M06_neck,37.0
M07_bicep,30.0
M08_wrist,17.0
M09_thigh,56.0
M10_mid_thigh,47.0
M11_knee,38.0
M12_calf,36.0
M13_ankle,23.0
M15_shoulder_to_waist_front,43.0
M16_shoulder_to_waist_back,41.0
M17_kameez_length,101.0
M18_dress_length,119.0
M19_sleeve_length,56.0
M20_sleeve_length_elbow,32.0
M21_inseam,76.0
M22_outseam,97.0
M23_crotch_depth_front,29.0
M24_crotch_depth_back,32.0
M25_torso_length,54.0
M26_shoulder_width,42.0
M27_chest_width,34.0
M28_back_width,33.0
M29_hip_width,36.0
M30_chest_depth,24.0
M31_waist_depth,19.0
M32_armhole_depth,20.0
